countries;low_birth_weight
Australia;6.4
Austria;6.8
Belgium;7.8
Canada;5.9
Czech Republic;6.7
Denmark;4.9
Finland;4.1
France;6.8
Germany;6.8
Greece;8.8
Hungary;8.2
Iceland;3.9
Ireland;4.9
Italy;6.7
Japan;9.5
Korea;4.3
Luxembourg;4.9
Mexico;8.8
Netherlands;6.2
New Zealand;6.1
Norway;4.8
Poland;6.1
Portugal;7.5
Slovak Republic;7.2
Spain;7.1
Sweden;4.2
Switzerland;7
Turkey;11.3
United Kingdom;7.5
United States;8.1
OECD - Total;6.643333333
