countries;infant_mortality
Australia;5
Austria;4.2
Belgium;3.7
Canada;5.3
Czech Republic;3.4
Denmark;4.4
Finland;3
France;3.6
Germany;3.9
Greece;3.8
Hungary;6.2
Iceland;2.3
Ireland;4
Italy;4.7
Japan;2.8
Korea;5.3
Luxembourg;2.6
Mexico;18.8
Netherlands;4.9
New Zealand;5.1
Norway;3.1
Poland;6.4
Portugal;3.5
Slovak Republic;7.2
Spain;4.1
Sweden;2.4
Switzerland;4.2
Turkey;23.6
United Kingdom;5.1
United States;6.8
OECD - Total;5.446666667
